                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.86658,                0.89849,                 1.2383,                0.87047,                0.83968,                0.85339,                0.63739,                0.99538,                0.84621,                 1.5974,             0.00074804,             0.00074804,             0.00074804
                     35,                0.84008,                0.84781,                 1.2338,                0.90939,                0.83076,                 0.8771,                 0.6451,                 1.0029,                0.85273,                 1.5582,             0.00073704,             0.00073704,             0.00073704
                     36,                0.85416,                0.84426,                 1.2337,                0.92817,                0.85667,                0.88134,                0.65666,                 1.0406,                0.92865,                 1.6347,             0.00072604,             0.00072604,             0.00072604
                     37,                0.87003,                0.86645,                 1.2363,                0.92449,                0.83296,                 0.8793,                0.67158,                0.98542,                0.87466,                 1.5268,             0.00071504,             0.00071504,             0.00071504
                     38,                0.88402,                0.88234,                 1.2565,                0.87285,                0.78173,                0.83827,                0.61973,                 1.0434,                0.98238,                 1.5993,             0.00070404,             0.00070404,             0.00070404
                     39,                0.84625,                0.85758,                 1.2224,                0.88616,                0.76159,                0.85786,                0.62738,                 1.0362,                 1.0847,                 1.5757,             0.00069304,             0.00069304,             0.00069304
                     40,                0.83994,                0.83696,                  1.224,                 0.9384,                0.83462,                0.90736,                0.68863,                0.95872,                0.81278,                 1.5226,             0.00068204,             0.00068204,             0.00068204
                     41,                 0.8407,                0.80952,                 1.2311,                0.88206,                0.84239,                0.86291,                 0.6549,                0.98731,                0.89578,                 1.5859,             0.00067104,             0.00067104,             0.00067104
                     42,                0.87157,                0.83937,                 1.2364,                0.90847,                0.83422,                0.90135,                0.66243,                 1.0215,                0.93893,                 1.5721,             0.00066005,             0.00066005,             0.00066005
                     43,                0.82023,                0.81159,                 1.2204,                0.91191,                0.81181,                0.88753,                0.66331,                0.99116,                 0.8921,                 1.5709,             0.00064905,             0.00064905,             0.00064905
                     44,                0.81173,                0.76915,                 1.1918,                0.88645,                0.82479,                0.88438,                0.67123,                0.91538,                0.90893,                 1.4696,             0.00063805,             0.00063805,             0.00063805
                     45,                0.84376,                0.84662,                 1.2138,                0.84669,                0.81723,                0.87838,                0.64853,                0.95759,                 0.9217,                 1.5276,             0.00062705,             0.00062705,             0.00062705
                     46,                  0.844,                0.85355,                 1.2299,                0.90212,                0.82355,                0.87789,                0.64785,                 1.0046,                0.90138,                 1.5654,             0.00061605,             0.00061605,             0.00061605
                     47,                 0.8433,                0.81024,                 1.2161,                0.88901,                0.81991,                0.86951,                0.66593,                0.88531,                0.80988,                 1.4225,             0.00060505,             0.00060505,             0.00060505
                     48,                0.82192,                0.79901,                  1.216,                0.89371,                0.82336,                0.88746,                0.67777,                0.90625,                0.86675,                 1.4679,             0.00059405,             0.00059405,             0.00059405
                     49,                0.83047,                0.78281,                 1.2127,                0.85582,                0.81312,                0.84838,                0.64342,                0.93462,                0.89211,                 1.4874,             0.00058305,             0.00058305,             0.00058305
                     50,                 0.8165,                0.73576,                 1.1878,                0.94046,                 0.8495,                0.91196,                0.69594,                0.93802,                 0.8686,                  1.488,             0.00057205,             0.00057205,             0.00057205
                     51,                0.80155,                0.75191,                 1.1841,                0.92019,                0.80948,                0.90662,                0.68808,                0.89403,                0.82027,                 1.4426,             0.00056105,             0.00056105,             0.00056105
                     52,                0.79174,                0.74137,                 1.1965,                0.91227,                0.82147,                0.88052,                0.65023,                 1.0246,                0.88684,                 1.5963,             0.00055006,             0.00055006,             0.00055006
                     53,                0.79775,                0.74131,                 1.1943,                0.93154,                0.83039,                0.90654,                0.69785,                0.88456,                0.78671,                 1.4507,             0.00053906,             0.00053906,             0.00053906
                     54,                0.79165,                0.73903,                 1.1854,                  0.914,                0.81928,                0.88479,                0.68126,                0.92105,                 0.7847,                  1.483,             0.00052806,             0.00052806,             0.00052806
                     55,                0.76699,                0.74247,                 1.1756,                0.93915,                0.81838,                0.88922,                0.68068,                0.92184,                0.84759,                 1.4555,             0.00051706,             0.00051706,             0.00051706
                     56,                0.75883,                0.70664,                 1.1729,                0.92001,                0.84994,                0.90012,                0.68458,                0.91433,                0.70591,                 1.4705,             0.00050606,             0.00050606,             0.00050606
                     57,                0.78406,                0.73125,                 1.1798,                0.92381,                  0.864,                0.90264,                0.68955,                0.94977,                0.72553,                 1.5109,             0.00049506,             0.00049506,             0.00049506
                     58,                0.76973,                 0.7075,                 1.1676,                0.94405,                0.85038,                0.91779,                0.68897,                0.95201,                0.88357,                 1.5027,             0.00048406,             0.00048406,             0.00048406
