                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6223,                 1.5831,                 1.6978,                0.65706,                0.62051,                0.66001,                0.29419,                 1.7565,                 1.5897,                 2.1423,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.6055,                 1.4723,                 1.6473,                0.35046,                0.52381,                0.42702,                0.15606,                 2.0859,                 2.4076,                 2.5597,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.573,                 1.4584,                 1.6585,                0.73373,                0.70476,                0.60907,                0.27509,                 1.9059,                  1.778,                 2.3976,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.6811,                 1.6301,                 1.7636,                0.62898,                0.60714,                0.58927,                0.28605,                  1.767,                 1.6529,                 2.1717,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.6305,                 1.6047,                 1.7122,                0.69653,                 0.5381,                 0.5085,                 0.2561,                 1.7827,                 2.1238,                 2.1379,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4625,                 1.3934,                 1.6248,                 0.6459,                   0.55,                0.62279,                 0.2749,                 1.7961,                 1.6647,                  2.238,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.5206,                 1.4304,                  1.674,                0.63051,                 0.6619,                0.62588,                0.29275,                 2.0324,                 1.6349,                 2.5043,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5082,                 1.3824,                 1.6236,                0.77364,                0.57552,                0.63741,                0.27453,                 2.0083,                 1.4044,                 2.4168,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.5879,                 1.4827,                 1.6775,                0.66157,                0.62129,                0.62905,                0.33399,                 1.8447,                 1.4532,                   2.29,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.5881,                 1.4085,                 1.6742,                0.81676,                0.45238,                0.59664,                0.36337,                 1.7227,                 1.4903,                  2.126,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.4386,                 1.2711,                 1.5276,                0.68706,                0.45238,                0.55999,                0.26226,                 1.7517,                  1.657,                 2.1109,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4967,                 1.3403,                 1.5899,                0.60871,                0.49183,                0.51068,                0.27189,                 1.8004,                 1.8223,                 2.2994,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.5238,                 1.4032,                 1.6426,                0.42028,                0.69286,                0.48593,                0.25529,                 1.7289,                 1.6333,                 2.1729,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.4811,                 1.3917,                 1.6261,                0.53679,                0.60952,                0.57674,                0.30102,                 1.8104,                 1.3331,                 2.2418,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.4931,                 1.3703,                 1.6062,                0.55172,                0.59524,                0.51342,                0.25313,                 1.7637,                 1.4268,                 2.1287,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.5335,                 1.4337,                 1.6406,                0.52505,                   0.65,                0.52587,                0.27467,                 1.5879,                 1.4618,                  2.004,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4139,                 1.3434,                 1.5916,                0.62618,                0.64916,                 0.5783,                0.28237,                 1.7292,                 1.4547,                 2.0911,             0.00085834,             0.00085834,             0.00085834
                     51,                   1.48,                 1.3145,                 1.6297,                0.65994,                0.73571,                0.70052,                0.33805,                 1.8445,                 1.3651,                 2.1302,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3823,                 1.2418,                 1.5304,                0.70329,                0.58095,                0.64668,                0.32829,                 1.7379,                 1.4155,                 2.0742,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3987,                 1.2606,                 1.5481,                0.72371,                0.45209,                0.59574,                0.31625,                 1.7881,                 1.6431,                 2.1149,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3882,                 1.2777,                 1.5404,                0.78102,                0.52202,                0.64832,                0.31867,                 1.7538,                 1.5775,                 2.0796,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.3877,                 1.3005,                 1.5919,                0.58855,                0.69048,                0.62546,                0.31749,                 1.6697,                 1.3788,                 1.9936,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3909,                 1.2332,                  1.535,                 0.5819,                0.73333,                 0.6276,                0.35444,                 1.6567,                  1.286,                 1.9788,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.4037,                 1.2908,                 1.5534,                0.60662,                 0.5836,                0.66054,                 0.3547,                 1.7515,                 1.3621,                 2.0977,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3513,                 1.2613,                 1.5292,                0.79355,                0.61849,                0.61916,                0.33048,                 1.7735,                 1.6481,                 2.0998,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.3061,                 1.2287,                 1.4851,                0.75138,                0.62428,                0.62901,                0.35988,                  1.651,                 1.2761,                  1.996,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3156,                 1.1963,                 1.5116,                0.79346,                0.63821,                 0.6541,                0.34152,                 1.8604,                 1.2475,                 2.2289,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.4233,                  1.225,                 1.5168,                0.54618,                   0.65,                0.59868,                0.30525,                 1.8201,                 1.2736,                 2.2135,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3085,                  1.096,                 1.4742,                  0.649,                0.63571,                0.58212,                0.34292,                 1.7724,                 1.2847,                 2.1513,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3336,                 1.1694,                 1.4979,                0.77649,                 0.7135,                0.74959,                0.40602,                 1.7926,                 1.2551,                  2.141,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.2866,                 1.1278,                 1.4497,                 0.7212,                0.74762,                0.74605,                0.42789,                 1.7373,                  1.147,                 2.0608,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.3103,                 1.1195,                 1.5066,                0.60368,                0.59286,                0.59694,                0.32829,                 1.6076,                 1.2465,                 1.9532,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2959,                 1.2169,                  1.521,                0.66079,                0.63571,                0.61812,                 0.3304,                 1.6467,                 1.2063,                 1.9989,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.3527,                  1.164,                 1.4843,                0.84411,                0.69975,                0.79561,                0.35812,                  1.671,                 1.1328,                 1.9786,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2664,                  1.044,                 1.4677,                0.79865,                0.69048,                0.73147,                 0.3196,                 1.6864,                 1.2191,                 1.9833,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2673,                 1.0883,                 1.4939,                0.73152,                0.67675,                0.75842,                0.34537,                 1.7401,                 1.3778,                 2.0864,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3209,                 1.1286,                   1.49,                0.74525,                0.65766,                0.72469,                0.35244,                 1.7134,                 1.3185,                  2.079,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2896,                 1.1165,                  1.475,                0.63325,                0.61725,                0.65039,                0.31076,                 1.7039,                 1.3039,                 2.0612,             0.00051177,             0.00051177,             0.00051177
                     72,                  1.204,                 1.0658,                 1.4341,                0.64655,                0.70476,                0.69013,                0.33086,                 1.6118,                  1.346,                 1.9761,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2547,                 1.1049,                 1.4326,                0.66365,                0.69048,                0.67207,                0.32227,                 1.5772,                 1.4146,                 1.9457,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1768,                 1.0304,                 1.3908,                0.67246,                0.71905,                0.73542,                0.35601,                 1.4965,                 1.2262,                  1.849,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.1728,                0.95206,                  1.375,                0.66496,                0.74953,                0.76439,                0.33591,                 1.6524,                 1.3289,                 2.0199,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.126,                0.98614,                 1.3576,                0.70495,                0.63941,                0.75895,                0.35202,                 1.7255,                 1.4243,                 2.1234,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2367,                 1.0776,                 1.4129,                0.84762,                0.58879,                0.73671,                0.35478,                 1.8097,                  1.289,                 2.3155,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2204,                 1.0489,                 1.4388,                0.75103,                0.73333,                0.74326,                0.43102,                  1.647,                 1.1441,                 2.0898,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2253,                 1.0533,                 1.4374,                0.90745,                0.74479,                0.83525,                0.42277,                 1.6353,                 1.0721,                 2.0723,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1452,                 0.9922,                 1.3556,                0.70543,                0.77434,                0.75778,                 0.3977,                 1.6064,                  1.014,                 1.9914,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2652,                 1.0443,                  1.448,                0.64201,                0.79048,                0.69377,                0.40156,                 1.5461,                 1.0319,                 1.9246,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2506,                 1.1004,                 1.4524,                0.71272,                0.73333,                0.71571,                0.38652,                 1.5576,                 1.0418,                 1.9331,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.1199,                 0.9925,                 1.3745,                0.79563,                0.69651,                0.74739,                0.34085,                 1.5703,                 1.1021,                 1.9201,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0528,                 0.9449,                 1.3052,                0.88249,                0.70476,                0.78824,                0.37319,                 1.5655,                 1.0795,                 1.9163,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1227,                0.92925,                 1.3527,                0.80174,                0.73256,                0.79662,                0.39842,                 1.5973,                 1.0799,                 1.9532,             0.00028072,             0.00028072,             0.00028072
                     86,                  1.175,                0.98102,                 1.4143,                0.70589,                0.75821,                0.76161,                0.37675,                 1.6192,                 1.0673,                 1.9597,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.1196,                0.98624,                 1.3779,                0.79101,                0.73333,                0.78023,                0.40351,                 1.6097,                 1.0351,                 1.9359,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.081,                0.91418,                 1.3502,                0.94788,                  0.696,                0.80273,                0.43084,                  1.608,                0.98303,                 1.9283,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1451,                0.96288,                 1.3419,                0.89087,                0.70254,                0.79959,                0.40359,                 1.5764,                 0.9962,                  1.904,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0243,                0.91758,                 1.3834,                0.80641,                0.76069,                0.80326,                 0.3907,                 1.5788,                   0.96,                 1.8802,             0.00019821,             0.00019821,             0.00019821
                     91,                0.92752,                0.73393,                 1.2734,                0.81327,                0.78739,                0.74442,                0.37644,                 1.6817,                0.98643,                  1.973,              0.0001817,              0.0001817,              0.0001817
                     92,                0.93818,                0.81045,                 1.3423,                0.80904,                0.79048,                0.73161,                0.36977,                  1.698,                  1.003,                 1.9873,              0.0001652,              0.0001652,              0.0001652
                     93,                0.93438,                0.62204,                 1.3244,                0.89568,                0.82822,                0.86541,                0.38402,                 1.6394,                0.98632,                  1.968,              0.0001487,              0.0001487,              0.0001487
                     94,                0.95983,                0.68018,                 1.3183,                0.80926,                0.72853,                0.78113,                0.36375,                 1.5982,                0.98473,                  1.964,             0.00013219,             0.00013219,             0.00013219
                     95,                0.94785,                0.70684,                 1.3136,                 0.7129,                0.63571,                0.67658,                 0.3622,                 1.5958,                 1.0104,                 1.9486,             0.00011569,             0.00011569,             0.00011569
                     96,                0.88632,                0.71581,                 1.2821,                0.73088,                0.61722,                0.66532,                 0.3692,                 1.5934,                0.96122,                 1.9385,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                  0.818,                0.57753,                  1.239,                0.74081,                0.63571,                0.68152,                0.37377,                 1.5855,                0.96179,                 1.9294,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.83025,                0.62033,                 1.2388,                0.88353,                0.68483,                0.81626,                0.39078,                 1.5945,                0.95539,                  1.934,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.88037,                0.63065,                 1.3014,                0.87676,                0.68492,                 0.8202,                0.38756,                 1.6239,                0.93294,                 1.9638,             4.9677e-05,             4.9677e-05,             4.9677e-05
