                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0288,                 2.8876,                 1.4078,                      1,                0.05894,                0.39824,                0.26376,                 0.9935,                 3.3559,                 1.5949,             0.00036005,             0.00036005,             0.00036005
                      1,                 1.1006,                 2.1098,                 1.4504,                0.60896,                0.58389,                0.64798,                0.39797,                   1.29,                  2.143,                 1.9079,             0.00048935,             0.00048935,             0.00048935
                      2,                 1.0249,                 1.7225,                 1.3755,                0.64224,                0.65882,                0.71576,                0.47587,                 1.0608,                  1.969,                 1.6719,             0.00037424,             0.00037424,             0.00037424
